grsp,ta_800
0,38.6234
0,38.6234
0,38.6234
0,38.6234
0,42.7491
0,42.7491
0,42.7491
0,42.7491
0,45.7337
0,45.7337
0,45.7337
0,45.7337
0,38.1845
0,38.1845
0,38.1845
0,38.1845
0,38.3601
0,38.3601
0,38.3601
0,38.3601
0,44.3292
0,44.3292
0,44.3292
0,44.3292
0,68.2933
0,68.2933
0,68.2933
0,68.2933
0,47.9282
0,47.9282
0,47.9282
0,47.9282
0,63.0264
0,63.0264
0,63.0264
0,63.0264
0,65.3087
0,65.3087
0,65.3087
0,65.3087
0,88.0439
0,88.0439
0,88.0439
0,88.0439
0,74.789
0,74.789
0,74.789
0,74.789
0,60.6564
0,60.6564
0,60.6564
0,60.6564
0,145.3646
0,145.3646
0,145.3646
0,145.3646
1,178.809
1,178.809
1,178.809
0,178.809
0,182.9347
0,182.9347
0,182.9347
0,182.9347
0,187.0604
0,187.0604
0,187.0604
0,187.0604
0,175.4733
0,175.4733
1,175.4733
0,175.4733
0,198.1207
1,198.1207
2,198.1207
0,198.1207
0,193.3806
0,193.3806
1,193.3806
0,193.3806
2,173.5422
1,173.5422
0,173.5422
0,173.5422
1,127.5451
1,127.5451
1,127.5451
0,127.5451
0,109.9013
1,109.9013
0,109.9013
0,109.9013
0,120.1716
0,120.1716
0,120.1716
0,120.1716
0,56.7062
0,56.7062
0,56.7062
0,56.7062
0,22.4718
0,22.4718
0,60.3052
0,60.3052
0,74.5257
0,74.5257
0,12.816
0,12.816
0,33.0055
0,33.0055
1,173.3666
1,173.3666
0,173.3666
0,173.3666
1,189.606
0,189.606
0,189.606
0,189.606
0,177.7556
1,177.7556
1,177.7556
1,177.7556
0,165.3786
0,165.3786
0,165.3786
0,165.3786
1,177.2289
0,177.2289
0,177.2289
0,177.2289
1,165.4663
0,165.4663
1,165.4663
0,165.4663
0,181.9691
0,181.9691
0,181.9691
0,181.9691
0,176.2634
0,176.2634
0,176.2634
0,176.2634
1,114.5536
0,114.5536
0,114.5536
